title,views,descr
Are we in control of our own decisions?,"
4,258,103
","
Behavioral economist Dan Ariely, the author of Predictably Irrational, uses classic visual illusions and his own counterintuitive (and sometimes shocking) research findings to show how we're not as rational as we think when we make decisions.
"
10 things you didn't know about orgasm,"
19,244,130
","
""Bonk"" author Mary Roach delves into obscure scientific research, some of it centuries old, to make 10 surprising claims about sexual climax, ranging from the bizarre to the hilarious. (This talk is aimed at adults. Viewer discretion advised.)
"
My wish: A global day of film,"
356,068
","
Jehane Noujaim unveils her 2006 TED Prize wish: to bring the world together for one day a year through the power of film.
"
Could a Saturn moon harbor life?,"
805,642
","
Carolyn Porco shares exciting new findings from the Cassini spacecraft's recent sweep of one of Saturn's moons, Enceladus. Samples gathered from the moon's icy geysers hint that an ocean under its surface could harbor life.
"
A supercharged motorcycle design,"
521,030
","
Yves Behar and Forrest North unveil Mission One, a sleek, powerful electric motorcycle. They share slides from distant (yet similar) childhoods that show how collaboration kick-started their friendship — and shared dreams.
"
Don't eat the marshmallow!,"
2,103,024
","
In this short talk from TED U, Joachim de Posada shares a landmark experiment on delayed gratification — and how it can predict future success. With priceless video of kids trying their hardest not to eat the marshmallow.
"
The world's English mania,"
4,026,175
","
Jay Walker explains why two billion people around the world are trying to learn English. He shares photos and spine-tingling audio of Chinese students rehearsing English — ""the world's second language"" — by the thousands.
"
A plea for education,"
839,722
","
Speaking at a London girls' school, Michelle Obama makes a passionate, personal case for each student to take education seriously. It is this new, brilliant generation, she says, that will close the gap between the world as it is and the world as it should be.
"
Why we're storing billions of seeds,"
516,551
","
In this brief talk from TED U 2009, Jonathan Drori encourages us to save biodiversity — one seed at a time. Reminding us that plants support human life, he shares the vision of the Millennium Seed Bank, which has stored over 3 billion seeds to date from dwindling yet essential plant species.
"
"Playing ""Pink Noise"" on guitar","
964,893
","
Kaki King, the first female on Rolling Stone's ""guitar god"" list, rocks out to a full live set at TED2008, including her breakout single, ""Playing with Pink Noise."" Jaw-dropping virtuosity meets a guitar technique that truly stands out.
"
A call to reinvent liberal arts education,"
551,700
","
Bennington president Liz Coleman delivers a call-to-arms for radical reform in higher education. Bucking the trend to push students toward increasingly narrow areas of study, she proposes a truly cross-disciplinary education — one that dynamically combines all areas of study to address the great problems of our day.
"
My wish: Manufactured landscapes and green education,"
785,214
","
Accepting his 2005 TED Prize, photographer Edward Burtynsky makes a wish: that his images — stunning landscapes that document humanity's impact on the world — help persuade millions to join a global conversation on sustainability.
"
A university for the coming singularity,"
823,725
","
Ray Kurzweil's latest graphs show that technology's breakneck advances will only accelerate — recession or not. He unveils his new project, Singularity University, to study oncoming tech and guide it to benefit humanity.
"
A wide-angle view of fragile Earth,"
681,092
","
In this image-filled talk, Yann Arthus-Bertrand displays his three most recent projects on humanity and our habitat — stunning aerial photographs in his series ""The Earth From Above,"" personal interviews from around the globe featured in his web project ""6 billion Others,"" and his soon-to-be-released movie, ""Home,"" which documents human impact on the environment through breathtaking video.
"
Odes to vice and consequences,"
281,336
","
Media big shot Felix Dennis roars his fiery, funny, sometimes racy original poetry, revisiting haunting memories and hard-won battle scars from a madcap — yet not too repentant — life. Best enjoyed with a glass of wine.
"
The world in 2200,"
443,887
","
In this short, optimistic talk from TED2009, Pete Alcorn shares a vision of the world of two centuries from now — when declining populations and growing opportunity prove Malthus was wrong.
"
Eco-friendly drywall,"
326,884
","
Kevin Surace suggests we rethink basic construction materials — such as the familiar wallboard — to reduce the huge carbon footprint generated by the manufacturing and construction of our buildings. He introduces EcoRock, a clean, recyclable and energy-efficient drywall created by his team at Serious Materials.
"
A plug for smart power outlets,"
575,975
","
John La Grou unveils an ingenious new technology that will smarten up the electrical outlets in our homes, using microprocessors and RFID tags. The invention, Safeplug, promises to prevent deadly accidents like house fires — and to conserve energy.
"
My wish: Three unusual medical inventions,"
350,863
","
Accepting his 2005 TED Prize, inventor Robert Fischell makes three wishes: redesigning a portable device that treats migraines, finding new cures for clinical depression and reforming the medical malpractice system.
"
Happiness and its surprises,"
1,356,204
","
Cognitive researcher Nancy Etcoff looks at happiness — the ways we try to achieve and increase it, the way it's untethered to our real circumstances, and its surprising effect on our bodies.
"
Learning from the gecko's tail,"
637,003
","
Biologist Robert Full studies the amazing gecko, with its supersticky feet and tenacious climbing skill. But high-speed footage reveals that the gecko's tail harbors perhaps the most surprising talents of all.
"
Success is a continuous journey,"
3,240,194
","
 In his typically candid style, Richard St. John reminds us that success is not a one-way street, but a constant journey. He uses the story of his business' rise and fall to illustrate a valuable lesson — when we stop trying, we fail.
"
Life in Biosphere 2,"
743,735
","
Jane Poynter tells her story of living two years and 20 minutes in Biosphere 2 — an experience that provoked her to explore how we might sustain life in the harshest of environments.
"
